run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,train_samples,test_samples,num_sigmas,single_sigma_value,base_train_accuracy,base_test_accuracy,mean_sampled_train_reward,mean_reward_delta_vs_base_train,max_sampled_train_reward,hit_rate_gt_base_train,hit_rate_gt_base_train_plus_0.05,best_sigma,best_sigma_mean_reward,smallest_k,smallest_k_accuracy,middle_k,middle_k_accuracy,largest_k,largest_k_accuracy,k1_accuracy,k2_accuracy,k4_accuracy,best_ensemble_accuracy,num_sampled_perturbations,results_path
countdown_20260313_221148,Qwen/Qwen2.5-3B-Instruct,,absolute,False,False,50,50,2,,0.1252,0.1512,,,,,,0.0005,0.1525,1,16.0,2,22.0,2,22.0,16.0,22.0,,22.0,0,codex/experiments/countdown_20260313_221148/results.json
countdown_20260313_221857,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,50,50,3,,0.1252,0.1512,0.1489,0.0237,0.21580000000000002,0.5625,0.3125,0.001,0.1686,1,14.000000000000002,2,20.0,4,24.0,14.000000000000002,20.0,24.0,24.0,16,codex/experiments/countdown_20260313_221857/results.json
countdown_20260313_222435,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,50,50,3,,0.1252,0.1512,0.12226250000000001,-0.0029374999999999957,0.19980000000000003,0.4375,0.0625,0.002,0.1307,1,12.0,2,20.0,4,28.000000000000004,12.0,20.0,28.000000000000004,28.000000000000004,16,codex/experiments/countdown_20260313_222435/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,50,50,5,,0.1252,0.1512,0.11672666666666667,-0.008473333333333333,0.2094,0.36666666666666664,0.13333333333333333,0.00025,0.14740000000000003,1,18.0,2,20.0,3,26.0,18.0,20.0,,26.0,30,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,100,100,5,,0.10280000000000003,0.15410000000000001,0.09728250000000002,-0.0055175000000000085,0.23230000000000006,0.55,0.15,0.002,0.13852857142857147,1,15.0,2,25.0,4,32.0,15.0,25.0,32.0,32.0,40,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,100,100,5,,0.10280000000000003,0.15410000000000001,0.10496500000000002,0.0021649999999999864,0.27160000000000006,0.5,0.275,0.001,0.1990166666666667,1,13.0,2,21.0,4,27.0,13.0,21.0,27.0,27.0,40,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234717,Qwen/Qwen2.5-0.5B-Instruct,per_parameter,absolute,False,False,100,100,5,,0.04559999999999999,0.044,0.010879999999999997,-0.03471999999999999,0.04969999999999999,0.025,0.0,0.0005,0.025414285714285712,1,0.0,2,0.0,4,0.0,0.0,0.0,0.0,0.0,40,codex/experiments/countdown_20260313_234717/results.json
countdown_20260313_235551,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,100,100,5,,0.04559999999999999,0.044,0.011817499999999998,-0.03378249999999999,0.04819999999999999,0.05,0.0,0.0005,0.026585714285714285,1,0.0,2,0.0,4,2.0,0.0,0.0,2.0,2.0,40,codex/experiments/countdown_20260313_235551/results.json
countdown_20260313_235647,Qwen/Qwen2.5-7B-Instruct,per_parameter,absolute,False,False,100,100,5,,0.42100000000000004,0.36160000000000003,0.23565500000000003,-0.185345,0.4694,0.15,0.0,0.0005,0.4049000000000001,1,34.0,2,45.0,4,53.0,34.0,45.0,53.0,53.0,40,codex/experiments/countdown_20260313_235647/results.json
countdown_20260313_235746,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,100,100,5,,0.42100000000000004,0.36160000000000003,0.21675500000000003,-0.204245,0.45260000000000006,0.15,0.0,0.0005,0.42065714285714295,1,38.0,2,46.0,4,51.0,38.0,46.0,51.0,51.0,40,codex/experiments/countdown_20260313_235746/results.json
