model,model_label,component,tensor_count,total_numel,weighted_mean_std,mean_std,min_std,max_std,weighted_mean_rms,weighted_mean_abs
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,338,1543714304,0.02796795783395053,0.5317698488805509,0.0187312550842762,68.87092590332031,0.028008720324693794,0.021789282985529054
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,196,154198016,0.028956992828457585,0.8073585902777861,0.0187312550842762,68.87092590332031,0.028957640392887778,0.021382824853794037
Qwen/Qwen2.5-1.5B-Instruct,1.5B,embedding,1,233373696,0.026089778169989586,0.026089778169989586,0.026089778169989586,0.026089778169989586,0.026089809834957123,0.020518247038125992
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,84,1156055040,0.028191925469963325,0.028191925469963325,0.025314942002296448,0.034600187093019485,0.028191949019119852,0.02202705493462937
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,57,87552,0.3351177843777757,0.3351177843777757,0.11295833438634872,1.1095763444900513,1.0523049758191694,0.9860611918725466
Qwen/Qwen2.5-3B-Instruct,3B,all,434,3085938688,0.02513416791806709,0.3259700814772758,0.00925113633275032,15.369823455810547,0.025166604334010766,0.0192016514610165
Qwen/Qwen2.5-3B-Instruct,3B,attention,252,339830784,0.02644670139628633,0.4670584136767993,0.01643350161612034,15.369823455810547,0.026446980476655828,0.019992219538553
Qwen/Qwen2.5-3B-Instruct,3B,embedding,1,311164928,0.024320924654603004,0.024320924654603004,0.024320924654603004,0.024320924654603004,0.024321112781763077,0.019161641597747803
Qwen/Qwen2.5-3B-Instruct,3B,mlp,108,2434793472,0.02503874852253055,0.02503874852253055,0.00925113633275032,0.03058779239654541,0.025038767907837475,0.019042152178439277
Qwen/Qwen2.5-3B-Instruct,3B,norm,73,149504,0.28827108697940224,0.28827108697940224,0.09370648115873337,0.9141365885734558,0.9564553025650652,0.9030449508804165
Qwen/Qwen2.5-7B-Instruct,7B,all,339,7615616512,0.01595292717214485,0.5270705354347781,0.008998692966997623,40.64160919189453,0.015970464911813326,0.012362736778849586
Qwen/Qwen2.5-7B-Instruct,7B,attention,196,822212608,0.017042443796518956,0.8054297047914291,0.008998692966997623,40.64160919189453,0.01704257414730265,0.012848636188917012
Qwen/Qwen2.5-7B-Instruct,7B,embedding,1,544997376,0.013641014695167542,0.013641014695167542,0.013641014695167542,0.013641014695167542,0.01364101655781269,0.010530269704759121
Qwen/Qwen2.5-7B-Instruct,7B,lm_head,1,544997376,0.011849169619381428,0.011849169619381428,0.011849169619381428,0.011849169619381428,0.01184924691915512,0.00907599925994873
Qwen/Qwen2.5-7B-Instruct,7B,mlp,84,5703204864,0.016397309456286684,0.016397309456286684,0.012293768115341663,0.01900162361562252,0.016397317106436406,0.012749476846130122
Qwen/Qwen2.5-7B-Instruct,7B,norm,57,204288,0.3405232490285447,0.3405232490285447,0.019970539957284927,1.2081366777420044,0.9933601756367767,0.9168829063051626
