model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-32B-Instruct,32B,all,,3,1557140480,0.0175498599495234,0.1267512229581674,0.01759699173271656,0.017555625750486237,0.7097563731173674,0.013589766231962187
Qwen/Qwen2.5-32B-Instruct,32B,all,0,12,487605248,0.017998432711352885,0.38543938954050344,0.022952396422624588,0.018001069732753002,0.40645773336291313,0.014009073221159052
Qwen/Qwen2.5-32B-Instruct,32B,all,1,12,487605248,0.005491879706757719,0.38645970850484446,0.013625365681946278,0.005492485021697412,0.3910086514467063,0.0022703147951118286
Qwen/Qwen2.5-32B-Instruct,32B,all,2,12,487605248,0.009832698371416518,0.3697360143996775,0.014883940108120441,0.009834437345051588,0.3836962861629824,0.00460029709471281
Qwen/Qwen2.5-32B-Instruct,32B,all,3,12,487605248,0.01367014576749168,0.29356462438590825,0.019561422988772392,0.013672666702808988,0.3134475618135184,0.007801377944760202
Qwen/Qwen2.5-32B-Instruct,32B,all,4,12,487605248,0.016772165847689636,0.2659721109860887,0.02279331348836422,0.016775880945134394,0.29526067439777154,0.010916047729968384
Qwen/Qwen2.5-32B-Instruct,32B,all,5,12,487605248,0.01891473070206575,0.16636091393108168,0.021630743518471718,0.01891989429596258,0.20721744482095042,0.013344999015266005
Qwen/Qwen2.5-32B-Instruct,32B,all,6,12,487605248,0.01955838328891449,0.17011173519616327,0.02385113015770912,0.019564601232285005,0.21935114807759723,0.014224639493152546
Qwen/Qwen2.5-32B-Instruct,32B,all,7,12,487605248,0.021422590237053094,0.16137006071706614,0.0236953292042017,0.02142971424339861,0.21791155465568104,0.01673260582271452
Qwen/Qwen2.5-32B-Instruct,32B,all,8,12,487605248,0.02200611150862871,0.17490056032935777,0.024522706866264343,0.022011473268642664,0.21735190926119685,0.017349214716862307
Qwen/Qwen2.5-32B-Instruct,32B,all,9,12,487605248,0.02210479394490633,0.16570612027620277,0.024101119488477707,0.022110196302868385,0.20853099257995686,0.017483470461880993
Qwen/Qwen2.5-32B-Instruct,32B,all,10,12,487605248,0.022385153701054455,0.1585953158016006,0.025539755821228027,0.022391750840219788,0.21094333458070955,0.017698234659796818
Qwen/Qwen2.5-32B-Instruct,32B,all,11,12,487605248,0.022334367184171897,0.17578070890158415,0.025011751800775528,0.022339964111271225,0.22014977115516862,0.017686098895287206
Qwen/Qwen2.5-32B-Instruct,32B,all,12,12,487605248,0.022387490204558193,0.16953454865142703,0.02468014694750309,0.02239375318278121,0.21924675178403655,0.017767309331175075
Qwen/Qwen2.5-32B-Instruct,32B,all,13,12,487605248,0.022319545159836113,0.16771857673302293,0.02430279739201069,0.022325838870106175,0.21757574938237667,0.017691539387145374
Qwen/Qwen2.5-32B-Instruct,32B,all,14,12,487605248,0.022342371703037007,0.16010903877516589,0.024989761412143707,0.022349315947518645,0.2152224190843602,0.01770844329902035
Qwen/Qwen2.5-32B-Instruct,32B,all,15,12,487605248,0.02224689213433549,0.1672968069712321,0.024524154141545296,0.02225392661002698,0.2230559332917134,0.017611451655619163
Qwen/Qwen2.5-32B-Instruct,32B,all,16,12,487605248,0.02216074410909169,0.181246401121219,0.024740271270275116,0.022166825003118482,0.22947611085449657,0.017547597229999212
Qwen/Qwen2.5-32B-Instruct,32B,all,17,12,487605248,0.022122711063920397,0.17330754393090805,0.025345059111714363,0.022129027909509262,0.22340541457136473,0.01753198500496529
Qwen/Qwen2.5-32B-Instruct,32B,all,18,12,487605248,0.022066849855065213,0.1790702350748082,0.025036774575710297,0.02207282702659474,0.22648275721197328,0.017477744020318844
Qwen/Qwen2.5-32B-Instruct,32B,all,19,12,487605248,0.021954349897035957,0.176058124906073,0.02448546141386032,0.021960616645517777,0.22572291254376373,0.017373860942427825
Qwen/Qwen2.5-32B-Instruct,32B,all,20,12,487605248,0.021939754986597233,0.17000200894350806,0.024551376700401306,0.021945432713685275,0.2150603368257483,0.017366253639383523
Qwen/Qwen2.5-32B-Instruct,32B,all,21,12,487605248,0.021964600401477692,0.18072010716423392,0.026114817708730698,0.02197023095122753,0.22535755081723133,0.01738866820396976
Qwen/Qwen2.5-32B-Instruct,32B,all,22,12,487605248,0.02202728628011282,0.17768837558105588,0.024790916591882706,0.022033202351802544,0.22460812625164786,0.017444371669448514
Qwen/Qwen2.5-32B-Instruct,32B,all,23,12,487605248,0.02211498893589469,0.21877641246343651,0.024403726682066917,0.022121263759423214,0.2685140046911935,0.017504399701093683
Qwen/Qwen2.5-32B-Instruct,32B,all,24,12,487605248,0.022091361878678304,0.1896992389423152,0.02445780672132969,0.022097607501889764,0.2392436902349194,0.017497476188537055
Qwen/Qwen2.5-32B-Instruct,32B,all,25,12,487605248,0.022076880149230118,0.2030236249168714,0.024490924552083015,0.02208341253820504,0.25484451729183394,0.017486953451870815
Qwen/Qwen2.5-32B-Instruct,32B,all,26,12,487605248,0.022118614877368215,0.1882395880917708,0.026354359462857246,0.022124779618727622,0.2371455098812779,0.017502338102534234
Qwen/Qwen2.5-32B-Instruct,32B,all,27,12,487605248,0.022140684148779777,0.20892261837919554,0.02673984132707119,0.022146622011865208,0.25602537331481773,0.017509557053830394
Qwen/Qwen2.5-32B-Instruct,32B,all,28,12,487605248,0.022211009528993565,0.21029464046781263,0.025001803413033485,0.022217338893030812,0.2604900953980784,0.017547828122580805
Qwen/Qwen2.5-32B-Instruct,32B,all,29,12,487605248,0.02222744151445434,0.20556093100458384,0.02463936060667038,0.022234478279729714,0.26139822338397306,0.017570705322405553
Qwen/Qwen2.5-32B-Instruct,32B,all,30,12,487605248,0.022296763712693554,0.21344631537795067,0.02504071779549122,0.022304065363956512,0.27139255435516435,0.017637875315785864
Qwen/Qwen2.5-32B-Instruct,32B,all,31,12,487605248,0.022325442322980678,0.20074844096476832,0.025092313066124916,0.02233322539711773,0.2625878117978573,0.017668319603662778
Qwen/Qwen2.5-32B-Instruct,32B,all,32,12,487605248,0.022500316192960883,0.19158401743819317,0.024941461160779,0.022507696768983575,0.2501359737167756,0.017765823415871518
Qwen/Qwen2.5-32B-Instruct,32B,all,33,12,487605248,0.022571724493050362,0.1798448197854062,0.025495333597064018,0.022579499622156652,0.24161247008790573,0.017830554205807134
Qwen/Qwen2.5-32B-Instruct,32B,all,34,12,487605248,0.022638916799939846,0.18453353208800158,0.024555707350373268,0.022646490371906178,0.24463943081597486,0.017866945657974677
Qwen/Qwen2.5-32B-Instruct,32B,all,35,12,487605248,0.022594844415850943,0.1831617777546247,0.02397509478032589,0.02260275772630957,0.24596042775859436,0.01781560433667166
Qwen/Qwen2.5-32B-Instruct,32B,all,36,12,487605248,0.022633826186854892,0.17941437723735967,0.024091579020023346,0.022641387014974854,0.2394444653764367,0.017840944843037252
Qwen/Qwen2.5-32B-Instruct,32B,all,37,12,487605248,0.02264260080325815,0.19524452121307453,0.02561466209590435,0.022650058541600567,0.2544366456568241,0.01785713882913603
Qwen/Qwen2.5-32B-Instruct,32B,all,38,12,487605248,0.022661696329654382,0.19108556831876436,0.025362655520439148,0.022669588466064174,0.2536860969848931,0.01787294868163117
