model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-32B-Instruct,32B,model.embed_tokens.weight,,,embedding,embed_tokens,778567680,2.9040090794296702e-06,0.01750057376921177,0.01750057376921177,0.013424955308437347
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.self_attn.q_proj.weight,,0,attention,q_proj,26214400,3.509290536385379e-06,0.022952396422624588,0.022952396422624588,0.01758199743926525
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.self_attn.q_proj.bias,,0,attention,q_proj,5120,-0.028680194169282913,0.9654510617256165,0.9657827019691467,0.5079218745231628
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.self_attn.k_proj.weight,,0,attention,k_proj,5242880,-3.0149700251058675e-05,0.030166050419211388,0.030166063457727432,0.02329057827591896
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.self_attn.k_proj.bias,,0,attention,k_proj,1024,0.14247344434261322,3.288727045059204,3.2902069091796875,1.7633532285690308
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.self_attn.v_proj.weight,,0,attention,v_proj,5242880,3.1538934308628086e-06,0.016915133222937584,0.016915131360292435,0.013192608952522278
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.self_attn.v_proj.bias,,0,attention,v_proj,1024,0.003834215458482504,0.18170976638793945,0.1816614866256714,0.048335641622543335
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.self_attn.o_proj.weight,,0,attention,o_proj,26214400,-1.7111843817474437e-06,0.0181630440056324,0.0181630440056324,0.013906853273510933
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.mlp.gate_proj.weight,,0,mlp,gate_proj,141557760,4.715133854915621e-06,0.016970250755548477,0.016970252618193626,0.013194841332733631
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.mlp.up_proj.weight,,0,mlp,up_proj,141557760,-4.398801138449926e-06,0.016282200813293457,0.016282200813293457,0.012736966833472252
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.mlp.down_proj.weight,,0,mlp,down_proj,141557760,-4.520339643931948e-06,0.019324863329529762,0.019324863329529762,0.0150987533852458
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.input_layernorm.weight,,0,norm,input_layernorm,5120,0.1607213020324707,0.017926646396517754,0.16171777248382568,0.1607220470905304
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.0.post_attention_layernorm.weight,,0,norm,post_attention_layernorm,5120,0.13387934863567352,0.03068421594798565,0.13734997808933258,0.13404500484466553
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.self_attn.q_proj.weight,,1,attention,q_proj,26214400,-1.2270761544641573e-06,0.005564537830650806,0.005564538296312094,0.0021659096237272024
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.self_attn.q_proj.bias,,1,attention,q_proj,5120,-0.008435234427452087,2.039154529571533,2.0389726161956787,1.4052797555923462
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.self_attn.k_proj.weight,,1,attention,k_proj,5242880,1.146891804637562e-06,0.009624868631362915,0.009624868631362915,0.005243919789791107
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.self_attn.k_proj.bias,,1,attention,k_proj,1024,0.018405910581350327,2.1362035274505615,2.135239362716675,1.4356882572174072
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.self_attn.v_proj.weight,,1,attention,v_proj,5242880,-3.936734174203593e-06,0.010259577073156834,0.010259577073156834,0.00718366215005517
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.self_attn.v_proj.bias,,1,attention,v_proj,1024,-0.00111257447861135,0.029545193538069725,0.029551714658737183,0.015909584239125252
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.self_attn.o_proj.weight,,1,attention,o_proj,26214400,-3.0972860258771107e-06,0.013625365681946278,0.013625365681946278,0.009766681119799614
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.mlp.gate_proj.weight,,1,mlp,gate_proj,141557760,2.9379563784459606e-05,0.005175567232072353,0.0051756505854427814,0.0016007840167731047
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.mlp.up_proj.weight,,1,mlp,up_proj,141557760,3.97244036776101e-07,0.0035677736159414053,0.003567773150280118,0.001145720947533846
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.mlp.down_proj.weight,,1,mlp,down_proj,141557760,2.252745844089077e-06,0.005780532956123352,0.005780532956123352,0.0023342568892985582
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.input_layernorm.weight,,1,norm,input_layernorm,5120,0.00447101378813386,0.04940164089202881,0.04959874600172043,0.017049133777618408
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.1.post_attention_layernorm.weight,,1,norm,post_attention_layernorm,5120,0.19927722215652466,0.3296133875846863,0.38514307141304016,0.20807693898677826
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.self_attn.q_proj.weight,,2,attention,q_proj,26214400,1.5978172314135008e-06,0.010373983532190323,0.010373983532190323,0.005482266191393137
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.self_attn.q_proj.bias,,2,attention,q_proj,5120,-0.012247027829289436,1.0841902494430542,1.0841535329818726,0.7026767730712891
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.self_attn.k_proj.weight,,2,attention,k_proj,5242880,1.2057079175065155e-06,0.014883940108120441,0.014883938245475292,0.00827712006866932
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.self_attn.k_proj.bias,,2,attention,k_proj,1024,-0.1510625034570694,2.874051809310913,2.876617193222046,2.0790457725524902
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.self_attn.v_proj.weight,,2,attention,v_proj,5242880,3.1953338748280657e-06,0.014560140669345856,0.014560139738023281,0.009935813955962658
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.self_attn.v_proj.bias,,2,attention,v_proj,1024,-3.987498348578811e-05,0.014134347438812256,0.014127500355243683,0.009059425443410873
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.self_attn.o_proj.weight,,2,attention,o_proj,26214400,-2.5413237381144427e-06,0.017681358382105827,0.017681360244750977,0.013371107168495655
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.mlp.gate_proj.weight,,2,mlp,gate_proj,141557760,9.833577678364236e-06,0.010002638213336468,0.01000264286994934,0.004095538519322872
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.mlp.up_proj.weight,,2,mlp,up_proj,141557760,6.88492264089291e-07,0.0074616651982069016,0.0074616651982069016,0.0031983754597604275
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.mlp.down_proj.weight,,2,mlp,down_proj,141557760,-1.4144362125989574e-07,0.010045303031802177,0.010045303031802177,0.004331736359745264
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.input_layernorm.weight,,2,norm,input_layernorm,5120,0.041072744876146317,0.08658229559659958,0.0958227589726448,0.04513172060251236
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.2.post_attention_layernorm.weight,,2,norm,post_attention_layernorm,5120,0.3398704528808594,0.29286444187164307,0.4486254155635834,0.3404077887535095
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.self_attn.q_proj.weight,,3,attention,q_proj,26214400,5.719452019548044e-06,0.014436868019402027,0.014436868950724602,0.009237946011126041
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.self_attn.q_proj.bias,,3,attention,q_proj,5120,-0.0175311379134655,0.7258424162864685,0.725983202457428,0.5196694731712341
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.self_attn.k_proj.weight,,3,attention,k_proj,5242880,6.100105565565173e-06,0.01973826065659523,0.01973825879395008,0.013070637360215187
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.self_attn.k_proj.bias,,3,attention,k_proj,1024,-0.028210222721099854,2.3518428802490234,2.350863456726074,1.3679993152618408
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.self_attn.v_proj.weight,,3,attention,v_proj,5242880,-1.3662677247339161e-06,0.016461027786135674,0.016461027786135674,0.011920242570340633
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.self_attn.v_proj.bias,,3,attention,v_proj,1024,0.0002836718922480941,0.01838219165802002,0.018375404179096222,0.011159558780491352
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.self_attn.o_proj.weight,,3,attention,o_proj,26214400,5.637200501951156e-06,0.019561422988772392,0.019561422988772392,0.015316185541450977
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.mlp.gate_proj.weight,,3,mlp,gate_proj,141557760,2.7621264962363057e-05,0.01482375618070364,0.01482378225773573,0.007865416817367077
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.mlp.up_proj.weight,,3,mlp,up_proj,141557760,6.958862854844483e-07,0.01074324268847704,0.01074324268847704,0.005928012076765299
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.mlp.down_proj.weight,,3,mlp,down_proj,141557760,-1.2239169109307113e-06,0.013829177245497704,0.013829176314175129,0.007561468053609133
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.input_layernorm.weight,,3,norm,input_layernorm,5120,0.10428551584482193,0.13920357823371887,0.1739233285188675,0.10504528135061264
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.3.post_attention_layernorm.weight,,3,norm,post_attention_layernorm,5120,0.3387637734413147,0.1779106706380844,0.3826315701007843,0.3387971818447113
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.4.self_attn.q_proj.weight,,4,attention,q_proj,26214400,-1.6890727465579403e-06,0.017385168001055717,0.017385168001055717,0.012729594483971596
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.4.self_attn.q_proj.bias,,4,attention,q_proj,5120,-0.010071426630020142,0.7209814190864563,0.7209812998771667,0.515961766242981
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.4.self_attn.k_proj.weight,,4,attention,k_proj,5242880,-1.0621280125633348e-05,0.02279331348836422,0.02279331535100937,0.016805728897452354
Qwen/Qwen2.5-32B-Instruct,32B,model.layers.4.self_attn.k_proj.bias,,4,attention,k_proj,1024,-0.02404719963669777,2.059839963912964,2.058974504470825,1.3268381357192993
