model,model_label,family,layer_index,component,param_kind,tensor_count,total_numel,mean_std,std_std,median_std,min_std,max_std,mean_rms,std_rms,median_rms,min_rms,max_rms,mean_fro_norm,std_fro_norm,median_fro_norm,min_fro_norm,max_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,min_abs_mean,max_abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,0,mlp,weight,1,4358144,0.0181575212627649,0.0,0.0181575212627649,0.0181575212627649,0.0181575212627649,0.0181575194001197,0.0,0.0181575194001197,0.0181575194001197,0.0181575194001197,37.905942965062515,0.0,37.905942965062515,37.905942965062515,37.905942965062515,0.014085741713643,0.0,0.014085741713643,0.014085741713643,0.014085741713643
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,1,mlp,weight,1,4358144,0.0169974938035011,0.0,0.0169974938035011,0.0169974938035011,0.0169974938035011,0.0169974938035011,0.0,0.0169974938035011,0.0169974938035011,0.0169974938035011,35.484254014359955,0.0,35.484254014359955,35.484254014359955,35.484254014359955,0.0133381485939025,0.0,0.0133381485939025,0.0133381485939025,0.0133381485939025
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,2,mlp,weight,1,4358144,0.0169791486114263,0.0,0.0169791486114263,0.0169791486114263,0.0169791486114263,0.0169791467487812,0.0,0.0169791467487812,0.0169791467487812,0.0169791467487812,35.44595239427275,0.0,35.44595239427275,35.44595239427275,35.44595239427275,0.0132749760523438,0.0,0.0132749760523438,0.0132749760523438,0.0132749760523438
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,3,mlp,weight,1,4358144,0.0173721052706241,0.0,0.0173721052706241,0.0173721052706241,0.0173721052706241,0.0173721015453338,0.0,0.0173721015453338,0.0173721015453338,0.0173721015453338,36.26629143826531,0.0,36.26629143826531,36.26629143826531,36.26629143826531,0.0135552380234003,0.0,0.0135552380234003,0.0135552380234003,0.0135552380234003
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,4,mlp,weight,1,4358144,0.0176155157387256,0.0,0.0176155157387256,0.0176155157387256,0.0176155157387256,0.0176155138760805,0.0,0.0176155138760805,0.0176155138760805,0.0176155138760805,36.774443114876846,0.0,36.774443114876846,36.774443114876846,36.774443114876846,0.0136045599356293,0.0,0.0136045599356293,0.0136045599356293,0.0136045599356293
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,5,mlp,weight,1,4358144,0.016670012846589,0.0,0.016670012846589,0.016670012846589,0.016670012846589,0.0166700258851051,0.0,0.0166700258851051,0.0166700258851051,0.0166700258851051,34.80062647889799,0.0,34.80062647889799,34.80062647889799,34.80062647889799,0.0129027385264635,0.0,0.0129027385264635,0.0129027385264635,0.0129027385264635
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,6,mlp,weight,1,4358144,0.0179467033594846,0.0,0.0179467033594846,0.0179467033594846,0.0179467033594846,0.0179467070847749,0.0,0.0179467070847749,0.0179467070847749,0.0179467070847749,37.4658476290366,0.0,37.4658476290366,37.4658476290366,37.4658476290366,0.0139121804386377,0.0,0.0139121804386377,0.0139121804386377,0.0139121804386377
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,7,mlp,weight,1,4358144,0.0181650221347808,0.0,0.0181650221347808,0.0181650221347808,0.0181650221347808,0.018165023997426,0.0,0.018165023997426,0.018165023997426,0.018165023997426,37.92160968864957,0.0,37.92160968864957,37.92160968864957,37.92160968864957,0.0139091089367866,0.0,0.0139091089367866,0.0139091089367866,0.0139091089367866
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,8,mlp,weight,1,4358144,0.0180953983217477,0.0,0.0180953983217477,0.0180953983217477,0.0180953983217477,0.0180953964591026,0.0,0.0180953964591026,0.0180953964591026,0.0180953964591026,37.776254068296105,0.0,37.776254068296105,37.776254068296105,37.776254068296105,0.0138309188187122,0.0,0.0138309188187122,0.0138309188187122,0.0138309188187122
Qwen/Qwen2.5-0.5B-Instruct,0.5B,down_proj.weight,9,mlp,weight,1,4358144,0.017973793670535,0.0,0.017973793670535,0.017973793670535,0.017973793670535,0.0179737973958253,0.0,0.0179737973958253,0.0179737973958253,0.0179737973958253,37.52240181812784,0.0,37.52240181812784,37.52240181812784,37.52240181812784,0.013632908463478,0.0,0.013632908463478,0.013632908463478,0.013632908463478
