model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,,2,233375232,0.0260930329566529,0.2733510388061404,0.5206122994422913,0.0261126665866698,1.7624829523265362,0.0205408842797737
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,0.0,12,46797824,0.0291344059087894,6.026772953414668,0.0558246299624443,0.0291536777052621,6.079121239017695,0.0224427700973659
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,1.0,12,46797824,0.0296280106409318,0.966335721158733,0.0443357750773429,0.0296677478017762,1.0677703904608886,0.0232017452039057
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,2.0,12,46797824,0.0289182795833994,0.3407996767200529,0.0367271304130554,0.0289632520879872,0.4545910100763042,0.0226596337630104
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,3.0,12,46797824,0.0287352912659038,0.2495386116206646,0.0353819467127323,0.0287745514793824,0.3489170698449015,0.0225431107749057
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,4.0,12,46797824,0.028412135235266,0.2369478483063479,0.0332571044564247,0.0284511016558336,0.3356664477226634,0.0222314624833151
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,5.0,12,46797824,0.0285561946851108,0.2776307448123892,0.0331855975091457,0.0286025631673873,0.3952789319058259,0.0223154591742316
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,6.0,12,46797824,0.0284374452959382,0.2617939935686688,0.0332984216511249,0.0284725993159904,0.350964257804056,0.0222300523310643
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,7.0,12,46797824,0.0285595418479693,0.4228649145613114,0.0318237394094467,0.0285931438747985,0.5095132286660373,0.0223099114875658
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,8.0,12,46797824,0.0282652316365469,0.2445582452540596,0.0314502716064453,0.0283045444443084,0.3442306815025707,0.022086830587341
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,9.0,12,46797824,0.0281006766097869,0.2725901375524699,0.0327056311070919,0.0281390936570843,0.3700738358311355,0.0219613728221479
