model,model_label,component,tensor_count,total_numel,weighted_mean_std,mean_std,min_std,max_std,weighted_mean_rms,weighted_mean_abs
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,338,1543714304,0.0279679578339505,0.5317698488805509,0.0187312550842762,68.87092590332031,0.0280087203246937,0.021789282985529
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,196,154198016,0.0289569928284575,0.8073585902777861,0.0187312550842762,68.87092590332031,0.0289576403928877,0.021382824853794
Qwen/Qwen2.5-1.5B-Instruct,1.5B,embedding,1,233373696,0.0260897781699895,0.0260897781699895,0.0260897781699895,0.0260897781699895,0.0260898098349571,0.0205182470381259
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,84,1156055040,0.0281919254699633,0.0281919254699633,0.0253149420022964,0.0346001870930194,0.0281919490191198,0.0220270549346293
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,57,87552,0.3351177843777757,0.3351177843777757,0.1129583343863487,1.1095763444900513,1.0523049758191694,0.9860611918725466
Qwen/Qwen2.5-3B-Instruct,3B,all,434,3085938688,0.025134167918067,0.3259700814772758,0.0092511363327503,15.369823455810549,0.0251666043340107,0.0192016514610165
Qwen/Qwen2.5-3B-Instruct,3B,attention,252,339830784,0.0264467013962863,0.4670584136767993,0.0164335016161203,15.369823455810549,0.0264469804766558,0.019992219538553
Qwen/Qwen2.5-3B-Instruct,3B,embedding,1,311164928,0.024320924654603,0.024320924654603,0.024320924654603,0.024320924654603,0.024321112781763,0.0191616415977478
Qwen/Qwen2.5-3B-Instruct,3B,mlp,108,2434793472,0.0250387485225305,0.0250387485225305,0.0092511363327503,0.0305877923965454,0.0250387679078374,0.0190421521784392
Qwen/Qwen2.5-3B-Instruct,3B,norm,73,149504,0.2882710869794022,0.2882710869794022,0.0937064811587333,0.9141365885734558,0.9564553025650652,0.9030449508804164
Qwen/Qwen2.5-7B-Instruct,7B,all,339,7615616512,0.0159529271721448,0.5270705354347781,0.0089986929669976,40.64160919189453,0.0159704649118133,0.0123627367788495
Qwen/Qwen2.5-7B-Instruct,7B,attention,196,822212608,0.0170424437965189,0.8054297047914291,0.0089986929669976,40.64160919189453,0.0170425741473026,0.012848636188917
Qwen/Qwen2.5-7B-Instruct,7B,embedding,1,544997376,0.0136410146951675,0.0136410146951675,0.0136410146951675,0.0136410146951675,0.0136410165578126,0.0105302697047591
Qwen/Qwen2.5-7B-Instruct,7B,lm_head,1,544997376,0.0118491696193814,0.0118491696193814,0.0118491696193814,0.0118491696193814,0.0118492469191551,0.0090759992599487
Qwen/Qwen2.5-7B-Instruct,7B,mlp,84,5703204864,0.0163973094562866,0.0163973094562866,0.0122937681153416,0.0190016236156225,0.0163973171064364,0.0127494768461301
Qwen/Qwen2.5-7B-Instruct,7B,norm,57,204288,0.3405232490285447,0.3405232490285447,0.0199705399572849,1.2081366777420044,0.9933601756367768,0.9168829063051626
Qwen/Qwen2.5-0.5B-Instruct,0.5B,all,290,494032768,0.018684550383938,0.7029156693482194,0.0111672729253768,32.34426498413086,0.0187785266218274,0.0144524980257456
Qwen/Qwen2.5-0.5B-Instruct,0.5B,attention,168,44067840,0.0228998132807798,1.0319559870321038,0.0111672729253768,32.34426498413086,0.0229031938009309,0.0161327759007389
Qwen/Qwen2.5-0.5B-Instruct,0.5B,embedding,1,136134656,0.0152494711801409,0.0152494711801409,0.0152494711801409,0.0152494711801409,0.0152495577931404,0.0119807869195938
Qwen/Qwen2.5-0.5B-Instruct,0.5B,mlp,72,313786368,0.0195024973040239,0.0195024973040239,0.016670012846589,0.0243432372808456,0.0195025201731671,0.0150797436169038
Qwen/Qwen2.5-0.5B-Instruct,0.5B,norm,49,43904,0.5930103880106187,0.5930103880106187,0.0924610570073127,1.8950051069259644,1.646659295929938,1.5090363337373247
Qwen/Qwen2.5-32B-Instruct,32B,all,771,32763876352,0.0216485609509759,0.2067063218740633,0.0035677736159414,3.288727045059204,0.0216567179537758,0.016899215086653
Qwen/Qwen2.5-32B-Instruct,32B,attention,448,4026990592,0.0222608706244578,0.2971979856478616,0.0055645378306508,3.288727045059204,0.0222608996175964,0.0172232056298099
Qwen/Qwen2.5-32B-Instruct,32B,embedding,1,778567680,0.0175005737692117,0.0175005737692117,0.0175005737692117,0.0175005737692117,0.0175005737692117,0.0134249553084373
Qwen/Qwen2.5-32B-Instruct,32B,lm_head,1,778567680,0.0175969917327165,0.0175969917327165,0.0175969917327165,0.0175969917327165,0.0175970215350389,0.0137410825118422
Qwen/Qwen2.5-32B-Instruct,32B,mlp,192,27179089920,0.0217891015478623,0.0217891015478623,0.0035677736159414,0.0245227068662643,0.0217891052197956,0.0170284266617575
Qwen/Qwen2.5-32B-Instruct,32B,norm,129,660480,0.170599004123793,0.170599004123793,0.0179266463965177,0.4913883507251739,0.5748735818752023,0.5425872593656067
