model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.embed_tokens.weight,,,embedding,embed_tokens,136134656,5.143165617482737e-05,0.0152494711801409,0.0152495577931404,0.0119807869195938
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.self_attn.q_proj.weight,,0.0,attention,q_proj,802816,-1.6903981304494664e-05,0.0667406097054481,0.0667405724525451,0.0419846549630165
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.self_attn.q_proj.bias,,0.0,attention,q_proj,896,-0.1519941985607147,7.857029438018799,7.854114532470703,3.9795894622802734
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.self_attn.k_proj.weight,,0.0,attention,k_proj,114688,0.0001346356293652,0.0805969014763832,0.0805966630578041,0.0503253191709518
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.self_attn.k_proj.bias,,0.0,attention,k_proj,128,3.870380401611328,32.34426498413086,32.44931411743164,16.603591918945312
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.self_attn.v_proj.weight,,0.0,attention,v_proj,114688,-8.017751497391146e-06,0.0114720845595002,0.0114720370620489,0.0087092695757746
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.self_attn.v_proj.bias,,0.0,attention,v_proj,128,0.0019782707095146,0.0148728750646114,0.0149461645632982,0.0091693624854087
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.self_attn.o_proj.weight,,0.0,attention,o_proj,802816,1.8591243133414537e-05,0.0131290163844823,0.0131290201097726,0.0094796065241098
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.mlp.gate_proj.weight,,0.0,mlp,gate_proj,4358144,-3.194336022716016e-05,0.0230463370680809,0.0230463575571775,0.0178593583405017
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.mlp.up_proj.weight,,0.0,mlp,up_proj,4358144,-2.9259451821417315e-06,0.018255466595292,0.0182554647326469,0.0144311971962451
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.mlp.down_proj.weight,,0.0,mlp,down_proj,4358144,-3.3243009056604933e-06,0.0181575212627649,0.0181575194001197,0.014085741713643
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.input_layernorm.weight,,0.0,norm,input_layernorm,896,0.0321574918925762,0.0924610570073127,0.0978448167443275,0.0695298090577125
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.0.post_attention_layernorm.weight,,0.0,norm,post_attention_layernorm,896,0.678170382976532,0.1510161757469177,0.6947628855705261,0.678170382976532
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.1.self_attn.q_proj.weight,,1.0,attention,q_proj,802816,7.276373071363196e-05,0.028722932562232,0.0287230052053928,0.0214592143893241
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.1.self_attn.q_proj.bias,,1.0,attention,q_proj,896,0.1425062268972396,1.1680152416229248,1.1760293245315552,0.6465333700180054
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.1.self_attn.k_proj.weight,,1.0,attention,k_proj,114688,8.775661626714282e-06,0.0405636467039585,0.0405634678900241,0.0305743999779224
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.1.self_attn.k_proj.bias,,1.0,attention,k_proj,128,1.6681711673736572,18.492340087890625,18.49534797668457,5.397747039794922
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.1.self_attn.v_proj.weight,,1.0,attention,v_proj,114688,5.300466727931053e-05,0.0115277534350752,0.0115278251469135,0.0087668038904666
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.1.self_attn.v_proj.bias,,1.0,attention,v_proj,128,-0.021303579211235,0.2417085468769073,0.2417031973600387,0.0479898005723953
