model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,,2,233375232,0.026093032956652953,0.2733510388061404,0.5206122994422913,0.026112666586669893,1.7624829523265362,0.020540884279773717
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,0,12,46797824,0.02913440590878941,6.026772953414668,0.055824629962444305,0.029153677705262167,6.079121239017695,0.022442770097365998
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,1,12,46797824,0.029628010640931894,0.966335721158733,0.04433577507734299,0.02966774780177626,1.0677703904608886,0.023201745203905784
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,2,12,46797824,0.02891827958339946,0.34079967672005296,0.03672713041305542,0.028963252087987234,0.45459101007630426,0.022659633763010414
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,3,12,46797824,0.028735291265903806,0.2495386116206646,0.035381946712732315,0.02877455147938248,0.34891706984490156,0.022543110774905752
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,4,12,46797824,0.02841213523526602,0.23694784830634794,0.03325710445642471,0.02845110165583368,0.33566644772266346,0.022231462483315156
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,5,12,46797824,0.02855619468511081,0.2776307448123892,0.03318559750914574,0.02860256316738732,0.3952789319058259,0.022315459174231667
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,6,12,46797824,0.028437445295938297,0.2617939935686688,0.033298421651124954,0.028472599315990495,0.350964257804056,0.022230052331064346
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,7,12,46797824,0.028559541847969373,0.4228649145613114,0.031823739409446716,0.02859314387479854,0.5095132286660373,0.02230991148756589
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,8,12,46797824,0.028265231636546984,0.24455824525405964,0.03145027160644531,0.028304544444308438,0.3442306815025707,0.022086830587341084
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,9,12,46797824,0.028100676609786903,0.27259013755246997,0.032705631107091904,0.028139093657084342,0.3700738358311355,0.021961372822147905
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,10,12,46797824,0.028052088254606016,0.25894687479982775,0.02958984673023224,0.028091684556869514,0.35940304802109796,0.02183541507273896
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,11,12,46797824,0.027992403660919946,0.2725681209315856,0.031161613762378693,0.028031335940071365,0.37138795138647157,0.021690044889231406
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,12,12,46797824,0.027679436731437884,0.25652857311069965,0.030852776020765305,0.027721666891605254,0.36368795329083997,0.021433720566018184
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,13,12,46797824,0.027539252351593456,0.3163934472637872,0.03304070606827736,0.027577108319253966,0.41248485585674644,0.021398742977621142
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,14,12,46797824,0.026856856452223014,0.2842975120681028,0.02877773903310299,0.026900738623128626,0.39590730285272,0.020696922079856347
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,15,12,46797824,0.02749296321235135,0.76873794492955,0.029800783842802048,0.027532984185746633,0.8695139025027553,0.02122491903914299
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,16,12,46797824,0.026944754740681767,0.2679932440320651,0.027837514877319336,0.026992434929943927,0.3890938328889509,0.02084838879372112
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,17,12,46797824,0.027341255931330136,0.26768564122418564,0.029436349868774414,0.02738925636963857,0.38969124139597017,0.021155673749200375
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,18,12,46797824,0.027482223088542347,0.35235703627889353,0.02798021212220192,0.027525584253194305,0.46244748511041206,0.0212248263008447
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,19,12,46797824,0.02785758397761968,0.2816112305348118,0.028861934319138527,0.02790615496358666,0.40494891519968707,0.02142751767938103
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,20,12,46797824,0.028304817181944063,0.240019002618889,0.03330858051776886,0.028357587550288256,0.37389233879124123,0.022020599250826285
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,21,12,46797824,0.02844332285483466,0.25439289476101595,0.03321819007396698,0.028498912179554317,0.39550308634837467,0.022068093267807082
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,22,12,46797824,0.028769555271463514,0.2599354237318039,0.031366877257823944,0.028824171904268347,0.39851112896576524,0.02230122239446689
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,23,12,46797824,0.029029386494121144,0.27957721256340545,0.03148523345589638,0.02908476882798153,0.4201938014787932,0.022618633995062466
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,24,12,46797824,0.029372181323502652,0.29354721245666343,0.03751868009567261,0.029429106047046735,0.4382541663944721,0.023000332847316167
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,25,12,46797824,0.0294066228580442,0.31095007124046486,0.03128255531191826,0.02945998833061102,0.4462705433058242,0.022971429034282738
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,26,12,46797824,0.029529780250211655,0.3254794498595099,0.04789869114756584,0.02958118874865865,0.4561344888061285,0.02306769124004257
Qwen/Qwen2.5-1.5B-Instruct,1.5B,all,27,12,46797824,0.02761115136207792,0.34177183095986646,0.04518850892782211,0.027672617774581375,0.4978725758070747,0.021359018883150373
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,0,7,5507072,0.03988766454315376,10.266951723024249,0.055824629962444305,0.039889926577105356,10.274001189108406,0.027110485879717518
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,1,7,5507072,0.029599929557453084,1.562050951378686,0.04433577507734299,0.029600534105293144,1.5635986948119742,0.022383836981542227
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,2,7,5507072,0.02875326321986405,0.5077656520796674,0.03672713041305542,0.02875358514195428,0.507695896551013,0.021616383131168152
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,3,7,5507072,0.029293862940357736,0.3606932344181197,0.035381946712732315,0.029295382051814905,0.36126276132251534,0.022390778771161413
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,4,7,5507072,0.029100427939842275,0.34403877173151287,0.03325710445642471,0.02910031094681645,0.34397743961640764,0.022116802527346536
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,5,7,5507072,0.029011312798053503,0.3911354762635061,0.030307922512292862,0.029011614094240686,0.3911594564893416,0.021470287751528344
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,6,7,5507072,0.0281041604399199,0.3816747737250158,0.033298421651124954,0.028105015102074287,0.3820450838123049,0.020604434315435235
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,7,7,5507072,0.028455851285092537,0.6501344394470964,0.031823739409446716,0.028457625257180343,0.6534478084317276,0.02134183826712582
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,8,7,5507072,0.028458550380693188,0.3407947977206537,0.03145027160644531,0.02845878720850822,0.34081095590123106,0.02103743499249508
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,9,7,5507072,0.028615402999306677,0.38009304233959745,0.032705631107091904,0.0286154041361852,0.38006600205387386,0.021395135495043505
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,10,7,5507072,0.02854992172328562,0.3412761025662933,0.02958984673023224,0.02855105595746313,0.34173520202083246,0.021347877622487466
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,11,7,5507072,0.02805094579882385,0.3595655709505081,0.031161613762378693,0.028052573848007314,0.3603935744613409,0.020848951325673912
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,12,7,5507072,0.027628089398611163,0.3265916646591255,0.030852776020765305,0.027629224713212906,0.32706442209226744,0.020437503565697145
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,13,7,5507072,0.02831263051656802,0.42632276830928667,0.03304070606827736,0.02831268901152238,0.4263184278139046,0.02128960721817473
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,14,7,5507072,0.026659464825868784,0.3299757521599531,0.02877773903310299,0.026659545317907322,0.3303614809576954,0.019169731680567036
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,15,7,5507072,0.02895253327823746,1.1625540708856923,0.029800783842802048,0.028952300683628144,1.1611011294381959,0.021219648069616542
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,16,7,5507072,0.02700766406270342,0.30754387831049307,0.027837514877319336,0.027007654238271974,0.30762965471616815,0.020090555629837397
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,17,7,5507072,0.02687454696203689,0.32170068552451475,0.029436349868774414,0.026875361310115153,0.32234471158257555,0.01985598878599717
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,18,7,5507072,0.027425050541347078,0.4847836819078241,0.02767365798354149,0.027424895970026838,0.48470732676131384,0.020346593609798038
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,19,7,5507072,0.026885293346548135,0.3671032969972917,0.027793079614639282,0.026886313884214603,0.3676651293145759,0.01986754513679882
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,20,7,5507072,0.02837840784320316,0.32254141702183653,0.03330858051776886,0.02837926761845356,0.3228329204555069,0.021009913366530387
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,21,7,5507072,0.027915702569591107,0.34801909141242504,0.03321819007396698,0.027919015997114036,0.3496824742427894,0.020900452602342984
Qwen/Qwen2.5-1.5B-Instruct,1.5B,attention,22,7,5507072,0.029168944726893787,0.37234207056462765,0.031366877257823944,0.0291692569852568,0.3723618356244905,0.02164257645528028
