model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.embed_tokens.weight,,,embedding,embed_tokens,233373696,-4.026186798000708e-05,0.026089778169989586,0.026089809834957123,0.020518247038125992
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.self_attn.q_proj.weight,,0,attention,q_proj,2359296,5.480993786477484e-05,0.048558756709098816,0.048558782786130905,0.03314100578427315
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.self_attn.q_proj.bias,,0,attention,q_proj,1536,0.05683324486017227,2.624666213989258,2.624427318572998,1.1003520488739014
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.self_attn.k_proj.weight,,0,attention,k_proj,393216,-3.1358176784124225e-05,0.055824629962444305,0.05582456290721893,0.0427512601017952
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.self_attn.k_proj.bias,,0,attention,k_proj,256,5.038457870483398,68.87092590332031,68.92070007324219,24.917383193969727
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.self_attn.v_proj.weight,,0,attention,v_proj,393216,9.346987644676119e-05,0.0187312550842762,0.018731463700532913,0.014575495384633541
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.self_attn.v_proj.bias,,0,attention,v_proj,256,0.010746772401034832,0.22704057395458221,0.22685138881206512,0.05442424491047859
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.self_attn.o_proj.weight,,0,attention,o_proj,2359296,2.2631424144492485e-05,0.02291472814977169,0.022914733737707138,0.017159879207611084
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.mlp.gate_proj.weight,,0,mlp,gate_proj,13762560,-3.969159661210142e-05,0.030752383172512054,0.030752407386898994,0.024050457403063774
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.mlp.up_proj.weight,,0,mlp,up_proj,13762560,8.795948815532029e-06,0.025541936978697777,0.025541936978697777,0.020144831389188766
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.mlp.down_proj.weight,,0,mlp,down_proj,13762560,-7.475312486349139e-06,0.02677125297486782,0.02677125297486782,0.021174512803554535
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.input_layernorm.weight,,0,norm,input_layernorm,1536,0.38537025451660156,0.25658947229385376,0.46293145418167114,0.38567036390304565
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.0.post_attention_layernorm.weight,,0,norm,post_attention_layernorm,1536,0.4721333980560303,0.11295833438634872,0.48544949293136597,0.47213611006736755
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.1.self_attn.q_proj.weight,,1,attention,q_proj,2359296,-1.44637569974293e-05,0.03324266895651817,0.033242661505937576,0.025247342884540558
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.1.self_attn.q_proj.bias,,1,attention,q_proj,1536,0.036780137568712234,0.91623455286026,0.9166744351387024,0.4772902727127075
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.1.self_attn.k_proj.weight,,1,attention,k_proj,393216,-4.590436219586991e-05,0.04433577507734299,0.0443357452750206,0.03333563730120659
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.1.self_attn.k_proj.bias,,1,attention,k_proj,256,0.7559828758239746,9.690153121948242,9.70071029663086,2.9438748359680176
Qwen/Qwen2.5-1.5B-Instruct,1.5B,model.layers.1.self_attn.v_proj.weight,,1,attention,v_proj,393216,-3.192307485733181e-05,0.020116522908210754,0.020116522908210754,0.01572180911898613
